Rank, name, year, rating, votes, genres, runtime, titleType, link, certificate, plot, image, director, writer, actors, awards, boxOffice, country, language, rottenTomatoes, metacritic
"10", "Young Sherlock", "2026", "7.5", "34231", "Action,Adventure,Comedy", "50", "tvSeries", "https://www.imdb.com/title/tt8599532/", "TV-14", "A disgraced, young Sherlock Holmes finds himself wrapped up in a murder case that threatens his liberty. His first ever case unravels a globe-trotting conspiracy, culminating in an explosive showdown that changes his life forever.", "https://m.media-amazon.com/images/M/MV5BMGY1NGJkOTAtM2RmNC00NWI3LWJkY2EtYjU1YmY5OGFjN2RjXkEyXkFqcGc@._V1_QL75_UY562_CR35,0,380,562_.jpg", "", "Peter Harness, Matthew Parkhill, Guy Ritchie", "Hero Fiennes Tiffin, Dónal Finn, Natascha McElhone", "", "", "United Kingdom", "English", "", ""
"11", "Star Trek: Starfleet Academy", "2026", "4.6", "33829", "Action,Adventure,Drama", "0", "tvSeries", "https://www.imdb.com/title/tt8622160/", "TV-PG", "Young cadets train to become Starfleet officers as they deal with friendships, rivalries, and romance, all while facing a mysterious threat to both the Academy and the Federation.", "https://m.media-amazon.com/images/M/MV5BZGFkNWNjMWQtMDI4Ny00M2FhLTk2NjMtMDg3MGI2NzM5ZjVhXkEyXkFqcGc@._V1_QL75_UX380_CR0,0,380,562_.jpg", "", "Gaia Violo, Alex Kurtzman, Noga Landau", "Holly Hunter, Sandro Rosta, Karim Diane", "", "", "United States", "English", "", ""
"12", "Star Wars: Maul - Shadow Lord", "2026", "8.5", "30318", "Action,Adventure,Animation", "22", "tvSeries", "https://www.imdb.com/title/tt36594331/", "TV-PG", "After the Clone Wars, Maul plots to rebuild his criminal syndicate on a planet untouched by the Empire.", "https://m.media-amazon.com/images/M/MV5BMmUzZWRkOGMtOGM2OC00ODk0LWFjZjUtMjUyOGRjYzgwYjdjXkEyXkFqcGc@._V1_QL75_UX380_CR0,0,380,562_.jpg", "", "Dave Filoni, Matt Michnovetz", "Sam Witwer, Chris Diamantopoulos, David W. Collins", "", "", "United States", "English", "", ""
"13", "Legends", "2026", "7.8", "28550", "Crime,Drama,Thriller", "60", "tvSeries", "https://www.imdb.com/title/tt33265765/", "TV-MA", "Customs agents go undercover to infiltrate Britain's most dangerous drug gangs, following a thrilling criminal investigation based on extensive research and interviews with those involved in the top-secret operation.", "https://m.media-amazon.com/images/M/MV5BYTI2NzI3OTgtNjJmNS00Yjk3LTliMTMtZDA1MWM4MDA0N2QzXkEyXkFqcGc@._V1_QL75_UY562_CR24,0,380,562_.jpg", "", "Neil Forsyth", "Tom Burke, Steve Coogan, Hayley Squires", "", "", "United Kingdom", "English", "", ""
"14", "Agatha Christie's Seven Dials", "2026", "6.2", "27872", "Crime,Drama,Mystery", "55", "tvMiniSeries", "https://www.imdb.com/title/tt31974288/", "TV-14", "In 1925, a country house party prank turns deadly. Lady Eileen "Bundle" Brent investigates the chilling murder plot. Lady Caterham and Superintendent Battle assist in solving the country house mystery that changes Bundle's life.", "https://m.media-amazon.com/images/M/MV5BZmM5MjMwOGMtY2U0YS00M2ZlLTlhNmItNDZlZDgxYmJhODdlXkEyXkFqcGc@._V1_SX300.jpg", "", "", "Mia McKenna-Bruce, Edward Bluemel, Martin Freeman", "", "", "United Kingdom", "English", "", ""
"15", "Run Away", "2026", "6.9", "27711", "Crime,Drama,Mystery", "50", "tvMiniSeries", "https://www.imdb.com/title/tt9169516/", "TV-MA", "Simon's perfect life is shattered when daughter Paige runs away, later found strung out in a park. Simon's search leads into a dangerous underworld where an act of violence rocks his life.", "https://m.media-amazon.com/images/M/MV5BNjEzOTlhYzItODhhYy00MGMzLWFkODAtYWI0NGEzMDdjZTAyXkEyXkFqcGc@._V1_SX300.jpg", "", "", "James Nesbitt, Minnie Driver, Lucian Msamati", "", "", "United Kingdom", "English", "", ""
"16", "Steel Ball Run: JoJo's Bizarre Adventure", "2026", "9.5", "27017", "Action,Adventure,Animation", "0", "tvSeries", "https://www.imdb.com/title/tt38268282/", "", "A paraplegic ex-jockey joins forces with an outlaw to compete in the first cross-continental horse race across North America in the 1800s.", "https://m.media-amazon.com/images/M/MV5BZDFmY2JjYmYtNjZhOC00ODJkLTliMjYtM2Y4YzBjMWE0ZGZjXkEyXkFqcGc@._V1_SX300.jpg", "", "", "Damien C. Haas, Kaiji Tang, Daman Mills", "", "", "Japan", "Japanese", "", ""
"17", "Sankalp", "2026", "6.9", "26932", "Drama,Thriller", "40", "tvSeries", "https://www.imdb.com/title/tt28091048/", "", "A saga of mentor vs. mentee: Kanhaiya Lal, the master kingmaker, devised a sure-shot UPSC strategy. Yet in every kingdom lurks a rebel-Aditya, defiant in the brood of powerful men. Who will break first?", "https://m.media-amazon.com/images/M/MV5BOTcwMWIwMGMtOTNhZS00Yzk5LWI0ZDYtZTM2NmE5MjdhZWMxXkEyXkFqcGc@._V1_QL75_UX380_CR0,4,380,562_.jpg", "", "Reshu Nath", "Nana Patekar, Sanjay Kapoor, Mohd. Zeeshan Ayyub", "", "", "India", "Hindi", "", ""
"18", "Detective Hole", "2026", "7.6", "25857", "Crime,Drama,Mystery", "50", "tvSeries", "https://www.imdb.com/title/tt31810018/", "TV-MA", "A brilliant but troubled detective, Harry Hole, hunts a serial killer while battling a corrupt adversary, Tom Waaler, as they navigate ethical gray areas, with Harry determined to bring the criminal to justice.", "https://m.media-amazon.com/images/M/MV5BYjRiYzU2MjAtMGY2Yi00YzVkLTkzZGMtMGE1OGQ0MWQ3OWYwXkEyXkFqcGc@._V1_QL75_UX380_CR0,0,380,562_.jpg", "", "Jo Nesbø", "Tobias Santelmann, Joel Kinnaman, Ellen Helinder", "", "", "Norway, United States", "Norwegian", "", ""
"19", "Dutton Ranch", "2026", "8.2", "25076", "Drama,Western", "0", "tvSeries", "https://www.imdb.com/title/tt34991493/", "TV-MA", "Beth Dutton and Rip Wheeler fight to survive on their cherished 7,000-acre ranch amid tough times and stiff competition, while ensuring young Carter becomes the man he's supposed to be.", "https://m.media-amazon.com/images/M/MV5BMzk0YTExY2EtYzI1NS00M2ZlLWFjOGUtMTQyMDY1MmE2ZGViXkEyXkFqcGc@._V1_QL75_UY562_CR0,0,380,562_.jpg", "", "Chad Feehan", "Kelly Reilly, Cole Hauser, Finn Little", "", "", "United States", "English", "", ""
"20", "Lanterns", "2026", "7.8", "24178", "Action,Adventure,Crime", "60", "tvSeries", "https://www.imdb.com/title/tt26545992/", "TV-MA", "Lanterns follows new recruit John Stewart and Lantern legend Hal Jordan, two intergalactic cops drawn into a dark, Earth-based mystery as they investigate a murder in the American heartland.", "https://m.media-amazon.com/images/M/MV5BM2ZjZDNlNDgtMjJlMy00NGRjLThlMGEtM2U4N2E4MDUwNjNmXkEyXkFqcGc@._V1_QL75_UY562_CR28,0,380,562_.jpg", "", "Tom King, Damon Lindelof, Chris Mundy", "Aaron Pierre, Kyle Chandler, Kelly Macdonald", "", "", "United States", "English", "", ""
"21", "The Madison", "2026", "7.8", "23826", "Drama", "60", "tvSeries", "https://www.imdb.com/title/tt33204276/", "TV-MA", "A New York family's life unravels after a tragedy; they process their grief while vacationing in rural Montana, where they explore human connection amid their profound sorrow.", "https://m.media-amazon.com/images/M/MV5BZGFiODdjY2UtNzAxZC00Mjc3LWJiZTQtYzQ2ZTM3ZWMzNjk0XkEyXkFqcGc@._V1_QL75_UX380_CR0,0,380,562_.jpg", "", "Taylor Sheridan", "Michelle Pfeiffer, Kurt Russell, Beau Garrett", "", "", "United States", "English", "", ""
"22", "DTF St. Louis", "2026", "7.3", "23703", "Comedy,Drama,Mystery", "0", "tvMiniSeries", "https://www.imdb.com/title/tt34385331/", "TV-MA", "A darkly comedic tale of three middle-aged individuals entangled in a love triangle, leading to one's untimely demise.", "https://m.media-amazon.com/images/M/MV5BNWFlMDkxYTgtNGQ1OS00OTM0LTkzNjAtNDdjNTk0NTAzYTdiXkEyXkFqcGc@._V1_QL75_UX380_CR0,0,380,562_.jpg", "", "Steve Conrad", "Jason Bateman, David Harbour, Linda Cardellini", "", "", "United States", "English", "", ""
"23", "Rooster", "2026", "7.6", "23394", "Comedy,Drama", "0", "tvSeries", "https://www.imdb.com/title/tt32420734/", "TV-MA", "A comedy revolving around an author's intricate bond with his daughter, set against the backdrop of a college campus.", "https://m.media-amazon.com/images/M/MV5BOGEwYjMxNDctMDhlYy00YTJhLTk0YTAtOWVjOTJhYzIyZTEyXkEyXkFqcGc@._V1_QL75_UY562_CR35,0,380,562_.jpg", "", "Bill Lawrence, Matt Tarses", "Steve Carell, Danielle Deadwyler, Phil Dunster", "", "", "United States", "English", "", ""
"24", "Cape Fear", "2026", "6.7", "22555", "Crime,Drama,Thriller", "55", "tvSeries", "https://www.imdb.com/title/tt34675596/", "TV-MA", "A happily married couple faces a growing threat when a notorious killer from their past, Max Cady, is released from prison and seeks revenge.", "https://m.media-amazon.com/images/M/MV5BYmZkOTkxNjAtZDY2MS00NTM3LTgwYWItMmNhMzFjMTBlOGI5XkEyXkFqcGc@._V1_QL75_UX380_CR0,57,380,562_.jpg", "", "", "Amy Adams, Javier Bardem, Patrick Wilson", "", "", "United States", "English", "", ""
"25", "Pritam Pedro", "2026", "7.7", "22164", "Comedy,Crime,Drama", "0", "tvSeries", "https://www.imdb.com/title/tt28077038/", "", "The dynamic between the two contrasting personalities, a seasoned cop who prefers old-school methods and a tech-savvy cop who relies on modern technology for investigations, as they navigate their partnership in solving crimes.", "https://m.media-amazon.com/images/M/MV5BNGMwOWM5NjEtYWQ4ZC00YWVkLTg5ZTctMWI2ZjNlODZjYWVlXkEyXkFqcGc@._V1_QL75_UY562_CR35,0,380,562_.jpg", "", "Rajkumar Hirani", "Boman Irani, Sanjay Dutt, Vikrant Massey", "", "", "India", "", "", ""
"26", "Scarpetta", "2026", "6.1", "20058", "Crime,Drama,Mystery", "50", "tvSeries", "https://www.imdb.com/title/tt14786934/", "TV-MA", "A brilliant forensic pathologist uses forensic technology to solve crimes.", "https://m.media-amazon.com/images/M/MV5BMGJiZTM2ZmItMGRiZC00NzgwLTk3M2QtNDI1ZmYxOTJkOGI3XkEyXkFqcGc@._V1_QL75_UY562_CR35,0,380,562_.jpg", "", "Elizabeth Sarnoff", "Nicole Kidman, Jamie Lee Curtis, Bobby Cannavale", "", "", "United States", "English", "", ""
"27", "Steal", "2026", "7.0", "19887", "Action,Crime,Drama", "50", "tvSeries", "https://www.imdb.com/title/tt32499731/", "TV-MA", "A contemporary, high-octane thriller about the heist of the century and the ordinary office worker who finds herself at the heart of it.", "https://m.media-amazon.com/images/M/MV5BMDkxOTA2MGMtNjI1NC00ZWU1LWIzM2QtZDU5ZGM4ODczNjcxXkEyXkFqcGc@._V1_SX300.jpg", "", "", "Sophie Turner, Jacob Fortune-Lloyd, Archie Madekwe", "", "", "United States", "English", "", ""
"28", "Teach You a Lesson", "2026", "8.4", "19609", "Action,Drama", "0", "tvSeries", "https://www.imdb.com/title/tt34809853/", "TV-MA", "The collapse of teachers' Authority, the establishment of the Teachers' Authority Protection Bureau under the Ministry of Education, and the dispatch of supervisors to problem schools to punish students and parents who cross the l...", "https://m.media-amazon.com/images/M/MV5BNzFjNmFjNzgtYmM0ZS00ODZmLWJiNTktOWNiYWZiMTE5MWRiXkEyXkFqcGc@._V1_QL75_UY562_CR35,0,380,562_.jpg", "", "", "Kim Mu-yeol, Lee Sung-min, Jin Ki-joo", "", "", "South Korea", "Korean", "", ""
"29", "Malcolm in the Middle: Life's Still Unfair", "2026", "6.8", "18618", "Comedy,Drama", "0", "tvMiniSeries", "https://www.imdb.com/title/tt35466672/", "TV-14", "Malcolm and his daughter are drawn into the family's chaos when Hal and Lois demand his presence for their 40th wedding anniversary party.", "https://m.media-amazon.com/images/M/MV5BOGQ4MDU3MWItOWQzMC00ZWExLTk5OWQtYTk3MGM0YzJjMjIzXkEyXkFqcGc@._V1_QL75_UX380_CR0,0,380,562_.jpg", "", "Linwood Boomer", "Bryan Cranston, Justin Berfield, Christopher Masterson", "", "", "United States", "English", "", ""
"30", "Marshals", "2026", "6.1", "18411", "Action,Crime,Drama", "0", "tvSeries", "https://www.imdb.com/title/tt36849871/", "TV-14", "Ex-Navy SEAL Kayce Dutton leaves the Yellowstone ranch to work with an elite U.S. Marshals team.", "https://m.media-amazon.com/images/M/MV5BOTk4NThjNzgtMjVjNi00MjdjLWE1NDctMzRhNTI1Y2RiN2NkXkEyXkFqcGc@._V1_QL75_UY562_CR4,0,380,562_.jpg", "", "Spencer Hudnut, Taylor Sheridan", "Luke Grimes, Logan Marshall-Green, Arielle Kebbel", "", "", "United States", "English", "", ""
"31", "Margo's Got Money Troubles", "2026", "7.3", "18124", "Comedy,Drama", "40", "tvSeries", "https://www.imdb.com/title/tt31137273/", "TV-MA", "A young mother struggles to make ends meet. When her estranged father offers help, she starts an OnlyFans account using his advice from pro wrestling. Though successful, she wonders if Internet fame comes at too high a cost.", "https://m.media-amazon.com/images/M/MV5BOTI2NDRhZWUtZDQwOC00OTk1LTk3Y2QtNmFlZjczOTMyZjM5XkEyXkFqcGc@._V1_QL75_UX380_CR0,4,380,562_.jpg", "", "David E. Kelley", "Elle Fanning, Nick Offerman, Greg Kinnear", "", "", "United States", "English", "", ""
"32", "Half Man", "2026", "8.0", "17414", "Drama", "60", "tvMiniSeries", "https://www.imdb.com/title/tt32767294/", "TV-MA", "Ruben turns up at his estranged brother (Niall)'s wedding, acting as a catalyst for a revival of the last 40 years of their relationship.", "https://m.media-amazon.com/images/M/MV5BMmM3ZDgwNmItYTc4Mi00MTk4LWEwMWMtNjliZGQ4NTlkZGMzXkEyXkFqcGc@._V1_QL75_UX380_CR0,0,380,562_.jpg", "", "Richard Gadd", "Jamie Bell, Richard Gadd, Neve McIntosh", "", "", "United Kingdom", "English", "", ""
"33", "Furious", "2026", "7.9", "17041", "Crime,Drama,Thriller", "0", "tvSeries", "https://www.imdb.com/title/tt36303968/", "", "A determined FBI agent delves into a female killer's history while partnering with a seasoned investigator to track her down.", "https://m.media-amazon.com/images/M/MV5BMDBlOTM5YjItMGZiYi00MTY2LWFiY2MtNWE5ZDMwZmE1OGNhXkEyXkFqcGc@._V1_QL75_UX380_CR0,0,380,562_.jpg", "", "Elizabeth Meriwether", "Emmy Rossum, Larissa Campos, Chloe Carrillo", "", "", "United States", "English", "", ""
"34", "Ride or Die", "2026", "7.5", "15538", "Action,Adventure,Comedy", "50", "tvMiniSeries", "https://www.imdb.com/title/tt30494226/", "", "Two best friends, Judith and Debbie, discover Judith is secretly an assassin. After a hit goes wrong, they go on the run while being targeted by a mysterious enemy, forcing them to confront the secrets between them.", "", "", "", "Octavia Spencer, Hannah Waddingham, Bill Nighy", "", "", "United States", "English", "", ""
"35", "How to Get to Heaven from Belfast", "2026", "7.4", "15367", "Comedy,Thriller", "50", "tvSeries", "https://www.imdb.com/title/tt31709373/", "TV-MA", "Three lifelong friends reunite after the death of an old classmate turns a wake into a dark mystery. They embark on a thrilling adventure across Ireland, piecing together enigmatic truths amid complicated lives.", "https://m.media-amazon.com/images/M/MV5BZTc0MmJlOTEtNWEwNC00ZTljLWExMTgtYWFhMWFiOTI3MmMyXkEyXkFqcGc@._V1_SX300.jpg", "", "", "Roisin Gallagher, Sinéad Keenan, Caoilfhionn Dunne", "", "", "Ireland", "English", "", ""
"36", "Chiraiya", "2026", "8.0", "15145", "Drama", "30", "tvSeries", "https://www.imdb.com/title/tt40828245/", "", "Kamlesh's world as a devoted wife and daughter-in-law shatters when her new sister-in-law confides a disturbing secret about her wedding night, forcing Kamlesh to confront uncomfortable truths within her own family.", "https://m.media-amazon.com/images/M/MV5BZDgzYzkyMzMtY2IxMi00NDY5LWJjN2YtZDQ4ZmZjZjBiODQ1XkEyXkFqcGc@._V1_QL75_UY562_CR29,0,380,562_.jpg", "", "", "Divya Dutta, Sanjay Mishra, Prasanna Bisht", "", "", "India", "Hindi", "", ""
"37", "Lucky", "2026", "6.7", "14973", "Crime,Drama,Thriller", "45", "tvSeries", "https://www.imdb.com/title/tt34866681/", "TV-MA", "A reformed criminal is forced to confront her past and return to illicit activities for one final job, hoping to secure her freedom and leave her former life behind for good.", "https://m.media-amazon.com/images/M/MV5BOGQ0MjkwOTUtMGMyYS00NzFhLTgxMjktNTAwOGViNWM2MWE1XkEyXkFqcGc@._V1_QL75_UX380_CR0,4,380,562_.jpg", "", "Jonathan Tropper", "Anya Taylor-Joy, Annette Bening, Clifton Collins Jr.", "", "", "United States", "English", "", ""
"38", "Man on Fire", "2026", "6.7", "14523", "Action,Crime,Drama", "50", "tvSeries", "https://www.imdb.com/title/tt27331527/", "", "Follows John Creasy, a wounded former mercenary on a quest to get revenge for the loss of his only companion while defending the daughter of his dead colleague from the forces that tore her family apart.", "https://m.media-amazon.com/images/M/MV5BZjFlMTMyZTAtY2NiZS00NzdjLWEwZTUtNDJjYjI4ZmU4NTBiXkEyXkFqcGc@._V1_QL75_UX380_CR0,0,380,562_.jpg", "", "Kyle Killen", "Yahya Abdul-Mateen II, Billy Blanco Jr., Alex Ozerov-Meyer", "", "", "United States", "English", "", ""
"39", "The Testaments", "2026", "8.2", "14139", "Drama,Thriller", "60", "tvSeries", "https://www.imdb.com/title/tt10970762/", "TV-MA", "This sequel to "The Handmaid's Tale" follows Agnes and Daisy, two teens in Gilead who must navigate an elite preparatory school where obedience is brutally enforced. Their bond becomes the catalyst that will transform their lives.", "https://m.media-amazon.com/images/M/MV5BMjZhODhiYmEtNTg0ZS00Mjc0LTk0NTYtMGEwMGFlNjFkZGM0XkEyXkFqcGc@._V1_QL75_UX380_CR0,0,380,562_.jpg", "", "Bruce Miller", "Brad Alexander, Hattie Kragten, Nate Corddry", "", "", "United States", "English", "", ""
"40", "The Beauty", "2026", "6.6", "13887", "Drama,Horror,Mystery", "42", "tvSeries", "https://www.imdb.com/title/tt33517752/", "TV-MA", "Partners Cooper Madsen and Jordan Bennett investigate "the Beauty" STD causing aesthetic effects but proving lethal, evading corrupt officials and a mercenary targeting them amidst a suspected government conspiracy.", "https://m.media-amazon.com/images/M/MV5BNzZiYjMwM2EtYmE0NS00NTg5LThhNGUtMjU2ZjcwMjM3ZGJhXkEyXkFqcGc@._V1_SX300.jpg", "", "Matthew Hodgson, Ryan Murphy", "Evan Peters, Anthony Ramos, Ashton Kutcher", "", "", "United States", "English", "", ""
"41", "Sterling Point", "2026", "7.4", "13855", "Drama,Mystery,Romance", "50", "tvSeries", "https://www.imdb.com/title/tt35618070/", "", "Annie and her twin brother, raised in NYC by their single father, discover their estranged grandfather bequeathed them a lake island.", "https://m.media-amazon.com/images/M/MV5BZDg1NzE4MTktZmRhNy00MTE2LTg2ZWUtNDk2NzhkZjIxZjg5XkEyXkFqcGc@._V1_QL75_UY562_CR310,0,380,562_.jpg", "", "Megan Park", "Ella Rubin, Amélie Hoeferle, Keen Ruffalo", "", "", "United States", "English", "", ""
"42", "Love Story", "2026", "7.3", "13656", "Biography,Drama,Romance", "0", "tvSeries", "https://www.imdb.com/title/tt15232564/", "TV-MA", "Explores the undeniable chemistry, whirlwind courtship and high-profile marriage of one of the most iconic couples of the 20th century, John F. Kennedy Jr. and Carolyn Bessette.", "https://m.media-amazon.com/images/M/MV5BMjRjZGJlZDgtODkzMi00OTYzLWEwNzAtM2ZiNGZiMmMwMzA3XkEyXkFqcGc@._V1_SX300.jpg", "", "", "Sarah Pidgeon, Paul Anthony Kelly, Grace Gummer", "", "", "United States", "English", "", ""
"43", "Big Mistakes", "2026", "7.2", "13512", "Comedy,Crime,Drama", "30", "tvSeries", "https://www.imdb.com/title/tt36957934/", "TV-MA", "Two directionless siblings are blackmailed into the world of organized crime.", "https://m.media-amazon.com/images/M/MV5BOTIwZmVhYWItMjAzZS00OGUzLThiYzItZmE3NTMxMjNjYjE1XkEyXkFqcGc@._V1_QL75_UY562_CR35,0,380,562_.jpg", "", "Dan Levy, Rachel Sennott", "Dan Levy, Taylor Ortega, Abby Quinn", "", "", "United States", "English", "", ""
"44", "Made in India: A Titan Story", "2026", "8.5", "13400", "Biography,Drama,History", "50", "tvSeries", "https://www.imdb.com/title/tt35674465/", "", "A visionary man Xerxes Desai with his team turns humiliation into history by building India's first world-class watch brand, proving that time itself can be reclaimed through courage, failure, and innovation.", "https://m.media-amazon.com/images/M/MV5BMGUwNjA2ZWUtMmYxNC00MTJhLThhZjctMTUwYThiYzRjNDBlXkEyXkFqcGc@._V1_QL75_UX380_CR0,4,380,562_.jpg", "", "", "Naseeruddin Shah, Jim Sarbh, Vaibhav Tatwawadi", "", "", "India", "Hindi", "", ""
"45", "Ponies", "2026", "7.1", "12645", "Comedy,Drama,Thriller", "0", "tvSeries", "https://www.imdb.com/title/tt33270420/", "", "Two secretaries at the American embassy in 1970s Moscow become CIA operatives after their husbands are killed, uncovering a Cold War conspiracy behind the tragedy.", "https://m.media-amazon.com/images/M/MV5BNWRlN2Y1NTYtNmRjZC00OWU0LWFhOGItZWFlODQxOTQyNzliXkEyXkFqcGc@._V1_SX300.jpg", "", "", "Emilia Clarke, Haley Lu Richardson, Adrian Lester", "", "", "United States", "English", "", ""
"46", "56 Days", "2026", "6.7", "12340", "Crime,Drama,Mystery", "50", "tvSeries", "https://www.imdb.com/title/tt30412869/", "", "After a chance supermarket encounter, Oliver and Ciara embark on an intense relationship. When a savagely murdered corpse surfaces 56 days later, the investigation delves into their turbulent love story, revealing grim secrets.", "https://m.media-amazon.com/images/M/MV5BMzA2YmY1YjItMTIzZi00NDM0LWFiN2EtZDc5NzIyNTIxNzM5XkEyXkFqcGc@._V1_SX300.jpg", "", "", "Avan Jogia, Dove Cameron, Karla Souza", "", "", "United States", "English", "", ""
