Rank, name, year, rating, votes, genres, runtime, titleType, link, certificate, plot, image, director, writer, actors, awards, boxOffice, country, language, rottenTomatoes, metacritic
"10", "The Drama", "2026", "7.1", "122801", "Comedy,Drama,Romance", "105", "movie", "https://www.imdb.com/title/tt33071426/", "R", "A happily-engaged couple is put to the test when an unexpected turn sends their wedding week off the rails.", "https://m.media-amazon.com/images/M/MV5BMTcwOGZhYmItYTg3ZS00NjUwLWJiMmQtMjU5YjEwYWY0NmNkXkEyXkFqcGc@._V1_QL75_UX380_CR0,16,380,562_.jpg", "Kristoffer Borgli", "Kristoffer Borgli", "Zendaya, Robert Pattinson, Alana Haim", "7 nominations total", "$48,062,006", "United States", "English", "76%", "59/100"
"11", "Masters of the Universe", "2026", "6.4", "118124", "Action,Adventure,Fantasy", "140", "movie", "https://www.imdb.com/title/tt0427340/", "PG-13", "Prince Adam discovers that the strange memories shaping his life are real when the lost Sword of Power resurfaces, forcing him to return to Eternia and challenge the tyrant who shattered his family and kingdom.", "https://m.media-amazon.com/images/M/MV5BMTJjYTFkM2EtZjBmNy00OTk2LTg0NTAtNzYxYzlmNjhkMzQ5XkEyXkFqcGc@._V1_QL75_UX380_CR0,0,380,562_.jpg", "Travis Knight", "Chris Butler, Aaron Nee, Adam Nee", "Nicholas Galitzine, Camila Mendes, Idris Elba", "6 nominations total", "$64,830,245", "United States, Australia, Canada, Iceland", "English", "", "52/100"
"12", "War Machine", "2026", "6.3", "117380", "Action,Sci-Fi,Thriller", "106", "movie", "https://www.imdb.com/title/tt15940132/", "R", "Follow the final recruits of a grueling special ops boot camp who encounter a mysterious deadly force.", "https://m.media-amazon.com/images/M/MV5BMmM1ZTc5ZTYtOTM2My00MjBmLWE5NzktYzkyYzdlYWE3ZDAzXkEyXkFqcGc@._V1_QL75_UX380_CR0,0,380,562_.jpg", "Patrick Hughes", "Patrick Hughes, James Beaufort", "Alan Ritchson, Stephan James, Blake Richardson", "1 nomination total", "", "United Kingdom, Australia, New Zealand, United States", "English", "66%", "54/100"
"13", "The Devil Wears Prada 2", "2026", "6.3", "110999", "Comedy,Drama", "119", "movie", "https://www.imdb.com/title/tt33612209/", "PG-13", "Andy Sachs reunites with Miranda Priestly as they navigate their careers amid the decline of traditional magazine publishing.", "https://m.media-amazon.com/images/M/MV5BZmM3ZDU3ODItZmY5Yi00OTQ2LWE5OTctZTA5NDBhMWJkOGY3XkEyXkFqcGc@._V1_QL75_UX380_CR0,0,380,562_.jpg", "David Frankel", "Lauren Weisberger, Aline Brosh McKenna", "Meryl Streep, Anne Hathaway, Emily Blunt", "2 wins & 4 nominations total", "$220,556,651", "United States", "English, Italian, French", "78%", "63/100"
"14", "The Sheep Detectives", "2026", "7.4", "109646", "Comedy,Family,Mystery", "109", "movie", "https://www.imdb.com/title/tt32565993/", "PG", "Every night a shepherd reads aloud a murder mystery, pretending his sheep can understand. When he is found dead, the sheep realize at once that it was a murder and think they know everything about how to go about solving it.", "https://m.media-amazon.com/images/M/MV5BNTFmZWI4YmMtNmQ0ZC00ZGQwLTk1OWEtZjAyZmIzOGY0MGFiXkEyXkFqcGc@._V1_QL75_UX380_CR0,0,380,562_.jpg", "Kyle Balda", "Craig Mazin, Leonie Swann", "Hugh Jackman, Brett Goldstein, Patrick Stewart", "1 win total", "$66,078,506", "United Kingdom, United States", "English", "95%", "72/100"
"15", "Apex", "2026", "6.1", "108457", "Action,Thriller", "95", "movie", "https://www.imdb.com/title/tt16431404/", "R", "A mountain climber haunted by a fatal decision in Norway retreats to the Australian wilderness for isolation. Her journey turns into a desperate hunt when a deceptive local targets her as his next ritualistic prey in the bush.", "https://m.media-amazon.com/images/M/MV5BNjUzODE2ZWYtMDdiMS00ZTA0LWI4MzEtNDkyODNiNmIwMWY1XkEyXkFqcGc@._V1_QL75_UX380_CR0,0,380,562_.jpg", "Baltasar Kormákur", "Jeremy Robbins", "Charlize Theron, Taron Egerton, Eric Bana", "", "", "United States, Australia, Iceland", "English", "68%", "58/100"
"16", "Punjab '95", "2026", "8.8", "106494", "Biography,Crime,Drama", "169", "movie", "https://www.imdb.com/title/tt28089784/", "", "Based on the life of prominent human rights activist Jaswant Singh Khalra.", "https://m.media-amazon.com/images/M/MV5BOTk1YTdiMDItZjAzOS00Njc0LTk3YTUtYjdiMWMyNDFhM2QzXkEyXkFqcGc@._V1_QL75_UY562_CR35,0,380,562_.jpg", "Honey Trehan", "Niren Bhatt, Utsav Maitra, Honey Trehan", "Diljit Dosanjh, Saurabh Sachdeva, Veer Abhinav", "", "", "India", "Punjabi, Hindi, English", "", ""
"17", "Star Wars: The Mandalorian and Grogu", "2026", "6.8", "99451", "Action,Adventure,Family", "132", "movie", "https://www.imdb.com/title/tt30825738/", "PG-13", "Once a lone bounty hunter, Mandalorian Din Djarin and his apprentice Grogu embark on an exciting new Star Wars adventure.", "https://m.media-amazon.com/images/M/MV5BYjRkYzAzNjktZmRhMy00NjRiLWE0OTMtYmRmMTE5NDkzY2NlXkEyXkFqcGc@._V1_QL75_UX380_CR0,0,380,562_.jpg", "Jon Favreau", "George Lucas, Jon Favreau, Dave Filoni", "Pedro Pascal, Brendan Wayne, Lateef Crowder", "3 nominations total", "$177,730,060", "United States", "English", "60%", "53/100"
"18", "Crime 101", "2026", "6.8", "94890", "Crime,Drama,Thriller", "140", "movie", "https://www.imdb.com/title/tt32430579/", "R", "An elusive thief, eyeing his final score, encounters a disillusioned insurance broker at her own crossroads. As their paths intertwine, a relentless detective trails them hoping to thwart the multi-million dollar heist they are pl...", "https://m.media-amazon.com/images/M/MV5BZThlN2M4ZTUtYTU3Mi00MDE5LWFhYWUtNjkxMWEwNjUwNDVhXkEyXkFqcGc@._V1_QL75_UX380_CR0,0,380,562_.jpg", "Bart Layton", "Bart Layton, Don Winslow", "Chris Hemsworth, Mark Ruffalo, Barry Keoghan", "", "$36,588,336", "United Kingdom, United States", "English", "88%", "68/100"
"19", "Wuthering Heights", "2026", "6.1", "90975", "Drama,Romance", "136", "movie", "https://www.imdb.com/title/tt32897959/", "R", "A passionate and tumultuous love story set against the backdrop of the Yorkshire moors, exploring the intense and destructive relationship between Heathcliff and Catherine Earnshaw.", "https://m.media-amazon.com/images/M/MV5BMGFlMTVkMDktZGMzMC00Yjk4LWFmNzEtNTFmMzM2YzM3MWFkXkEyXkFqcGc@._V1_QL75_UY562_CR35,0,380,562_.jpg", "Emerald Fennell", "Emily Brontë, Emerald Fennell", "Margot Robbie, Jacob Elordi, Hong Chau", "1 nomination total", "$84,001,072", "United Kingdom, United States", "English", "57%", "55/100"
"20", "Peaky Blinders: The Immortal Man", "2026", "6.5", "89199", "Crime,Drama,History", "112", "movie", "https://www.imdb.com/title/tt15574124/", "R", "During World War II, Tommy Shelby returns to a bombed Birmingham and becomes involved in secret wartime missions facing new threats as he reckons with his past.", "https://m.media-amazon.com/images/M/MV5BNTdlNTNjNjctYTg2MC00NTFlLTliNTctODFiZjZmNWRkYTVlXkEyXkFqcGc@._V1_QL75_UX380_CR0,0,380,562_.jpg", "Tom Harper", "Steven Knight", "Cillian Murphy, Rebecca Ferguson, Tim Roth", "", "", "United Kingdom, France, United States", "English", "90%", "59/100"
"21", "Supergirl", "2026", "5.8", "88456", "Action,Adventure,Drama", "108", "movie", "https://www.imdb.com/title/tt8814476/", "PG-13", "Kara Zor-El, aka Supergirl, joins forces with an unlikely companion on an interstellar journey of vengeance and justice when an unexpected adversary strikes too close to home.", "https://m.media-amazon.com/images/M/MV5BMmJkOTE0MWUtY2E5OS00NzEyLWI4NjEtYzQzYzFmMjk5ODE3XkEyXkFqcGc@._V1_QL75_UX380_CR0,0,380,562_.jpg", "Craig Gillespie", "Jerry Siegel, Joe Shuster, Ana Nogueira", "Milly Alcock, David Corenswet, Eve Ridley", "4 nominations total", "$71,986,393", "United States, United Kingdom, Australia, Canada, Iceland", "English", "53%", "50/100"
"22", "Mortal Kombat II", "2026", "6.3", "87612", "Action,Adventure,Fantasy", "116", "movie", "https://www.imdb.com/title/tt17490712/", "R", "The fan favorite champions -- now joined by Johnny Cage himself -- are pitted against one another in the ultimate battle to defeat the dark rule of Shao Kahn that threatens the very existence of the Earthrealm and its defenders.", "https://m.media-amazon.com/images/M/MV5BNTg2YWNkN2EtMzc1Ny00ZTBhLWFmYTItMmMyNzhjNjhhNmVhXkEyXkFqcGc@._V1_QL75_UX380_CR0,0,380,562_.jpg", "Simon McQuoid", "Jeremy Slater, Ed Boon, John Tobias", "Adeline Rudolph, Karl Urban, Martyn Ford", "3 nominations total", "$79,770,110", "United States", "English, Spanish", "64%", "46/100"
"23", "Hoppers", "2026", "7.2", "84118", "Adventure,Animation,Comedy", "104", "movie", "https://www.imdb.com/title/tt26443616/", "PG", "A 19-year-old animal lover uses technology that places her consciousness into a robotic beaver to uncover mysteries within the animal world beyond her imagination.", "https://m.media-amazon.com/images/M/MV5BNzRiMzZlMTMtNmU3OC00MDUwLThmNDUtMTBjZmQ3MWQ4NTljXkEyXkFqcGc@._V1_QL75_UX380_CR0,0,380,562_.jpg", "Daniel Chong", "Daniel Chong, Jesse Andrews, Jordan Harrison", "Piper Curda, Bobby Moynihan, Jon Hamm", "", "$164,415,529", "United States", "English", "94%", "73/100"
"24", "Mercy", "2026", "6.2", "81237", "Action,Crime,Drama", "99", "movie", "https://www.imdb.com/title/tt31050594/", "PG-13", "Set in the near future, a detective accused of murdering his wife has 90 minutes to prove his innocence to an advanced AI judge.", "https://m.media-amazon.com/images/M/MV5BMWJmYjcwMTMtMDU1ZC00ZGI5LTlmZDAtODI3NDA2ZTE5ZGVlXkEyXkFqcGc@._V1_QL75_UX380_CR0,0,380,562_.jpg", "Timur Bekmambetov", "Marco van Belle", "Chris Pratt, Rebecca Ferguson, Kali Reis", "1 nomination total", "$24,390,303", "United States", "English", "", "34/100"
"25", "Toy Story 5", "2026", "7.4", "78266", "Adventure,Animation,Comedy", "102", "movie", "https://www.imdb.com/title/tt29355505/", "PG", "Woody, Buzz, Jessie and the rest of the gang's jobs are challenged when they're introduced to electronics, a new threat to playtime.", "https://m.media-amazon.com/images/M/MV5BZTI1YTBiNmEtYWUxZi00YzFkLWIzNjMtMmZjMmY2NzM0ZWMzXkEyXkFqcGc@._V1_QL75_UX380_CR0,0,380,562_.jpg", "McKenna Harris, Andrew Stanton", "Andrew Stanton, McKenna Harris", "Tom Hanks, Tim Allen, Joan Cusack", "4 nominations total", "$475,919,757", "United States", "English", "93%", "73/100"
"26", "The Super Mario Galaxy Movie", "2026", "6.3", "73540", "Adventure,Animation,Comedy", "98", "movie", "https://www.imdb.com/title/tt28650488/", "PG", "Mario ventures into space, exploring cosmic worlds and tackling galactic challenges far from the familiar Mushroom Kingdom.", "https://m.media-amazon.com/images/M/MV5BMGIzMGI4OWYtNzdkMy00MjJlLWJiMDMtZjY1Y2UwMzQ0YzY3XkEyXkFqcGc@._V1_QL75_UX380_CR0,0,380,562_.jpg", "Aaron Horvath, Michael Jelenic, Pierre Leduc", "Matthew Fogel", "Brie Larson, Virginia Dare Jelenic, Benny Safdie", "", "$429,814,610", "Japan, United States", "English", "42%", "37/100"
"27", "Ready or Not 2: Here I Come", "2026", "6.5", "73206", "Comedy,Horror,Thriller", "108", "movie", "https://www.imdb.com/title/tt33978029/", "R", "Grace MacCaullay battles old wounds with her estranged sister Faith MacCaullay while rival occult dynasties hunt them through a deadly contest that promises power, survival, and betrayal before dawn.", "https://m.media-amazon.com/images/M/MV5BZTM3N2EyMTEtNDhkMi00ZjNiLWI0MWUtOGViMjExODY3YTJhXkEyXkFqcGc@._V1_QL75_UX380_CR0,0,380,562_.jpg", "Matt Bettinelli-Olpin, Tyler Gillett", "Guy Busick, R. Christopher Murphy", "Samara Weaving, Kathryn Newton, Elijah Wood", "2 nominations total", "$22,986,054", "United States, Canada", "English", "75%", "58/100"
"28", "Dhurandhar: The Revenge", "2026", "8.2", "71495", "Action,Crime,Thriller", "235", "movie", "https://www.imdb.com/title/tt39139925/", "", "Jaskirat Singh Rangi descends deeper into his alias as Hamza Ali Mazari, rising through Karachi's criminal hierarchy to claim the feared title "Sher-e-Baloch" while balancing loyalty, betrayal, and survival in a ruthless underworld.", "https://m.media-amazon.com/images/M/MV5BNzdkNjAxNWMtNWY3My00NTI1LTg2YWQtOGI3MDA0NzdhMjEyXkEyXkFqcGc@._V1_QL75_UY562_CR24,0,380,562_.jpg", "Aditya Dhar", "Aditya Dhar", "Ranveer Singh, Akshaye Khanna, Sanjay Dutt", "", "$27,415,192", "India", "Hindi", "33%", ""
"29", "Lee Cronin's The Mummy", "2026", "6.1", "70658", "Horror", "134", "movie", "https://www.imdb.com/title/tt32612507/", "R", "Eight years after her sudden disappearance in Egypt, a severely traumatized teenager is returned to her shattered family in New Mexico, triggering a visceral nightmare as they realize she is hosting an ancient, demonic parasite.", "https://m.media-amazon.com/images/M/MV5BNWQ1NzI2YTUtN2E0ZS00YzVmLTkxNjktMWIzNTYwMzkyOTU0XkEyXkFqcGc@._V1_QL75_UX380_CR0,0,380,562_.jpg", "Lee Cronin", "Lee Cronin", "Jack Reynor, Laia Costa, May Calamawy", "1 nomination total", "$29,152,113", "Ireland, United States, Spain, Canada", "English, Spanish, Arabic", "45%", "47/100"
"30", "Melania", "2026", "1.6", "69526", "Documentary", "104", "movie", "https://www.imdb.com/title/tt35291758/", "PG", "An intimate chronicle offers a rare glimpse into the life of Melania Trump, exploring her role as First Lady and her relationship with the former president.", "", "", "", "", "", "", "United States", "English", "10%", ""
"31", "Scream 7", "2026", "5.5", "66138", "Horror,Mystery,Thriller", "114", "movie", "https://www.imdb.com/title/tt27047903/", "R", "When a new Ghostface killer emerges in the town where Sidney Prescott has built a new life, her darkest fears are realized as her daughter becomes the next target.", "https://m.media-amazon.com/images/M/MV5BMzk2YzRjYmItNTA5Mi00ODczLTljYzUtOWE1ZDFkODhlZWJlXkEyXkFqcGc@._V1_QL75_UX380_CR0,0,380,562_.jpg", "Kevin Williamson", "Kevin Williamson, Guy Busick, James Vanderbilt", "Neve Campbell, Courteney Cox, Isabel May", "", "$121,935,967", "United States, Canada", "English", "30%", "35/100"
"32", "The Invite", "2026", "7.5", "61451", "Comedy,Drama,Romance", "107", "movie", "https://www.imdb.com/title/tt14173636/", "R", "Joe and Angela's marriage is on thin ice. When they invite their enigmatic upstairs neighbors for a dinner party, the night spirals into unexpected places.", "https://m.media-amazon.com/images/M/MV5BMjI0MzJjMjctNmQzZi00Y2U4LWEwZGItMmE3NDUzNzk1YzY3XkEyXkFqcGc@._V1_QL75_UX380_CR0,15,380,562_.jpg", "Olivia Wilde", "Cesc Gay, Will McCormack, Rashida Jones", "Seth Rogen, Olivia Wilde, Penélope Cruz", "2 wins & 6 nominations total", "$24,275,757", "United States", "English, Spanish", "96%", "82/100"
"33", "Hokum", "2026", "6.7", "60798", "Horror,Thriller", "107", "movie", "https://www.imdb.com/title/tt35672862/", "R", "A horror writer visits an Irish inn to scatter his parents' ashes, unaware the property is said to be haunted by a witch.", "https://m.media-amazon.com/images/M/MV5BZjA1ZjFlZGItNTVjZC00NTFhLTg2YTEtODMzODRmNGFiNTdmXkEyXkFqcGc@._V1_QL75_UX380_CR0,0,380,562_.jpg", "Damian McCarthy", "Damian McCarthy", "Adam Scott, Peter Coonan, David Wilmot", "", "$16,834,886", "Ireland, United Arab Emirates", "English", "90%", "76/100"
"34", "The Last House", "2026", "5.5", "55032", "Action,Horror,Mystery", "112", "movie", "https://www.imdb.com/title/tt32268156/", "", "In an inexplicable situation, a family finds themselves confined within their home, unable to leave. As supplies dwindle, they must learn resourcefulness to survive and unravel the mysterious force trapping them.", "", "Louis Leterrier", "", "Sid Edwards, Lewis Goody, Audrey Anderson", "", "", "United Kingdom, France, United States", "English", "", ""
"35", "The Wrecking Crew", "2026", "6.4", "54320", "Action,Comedy,Crime", "124", "movie", "https://www.imdb.com/title/tt33046197/", "R", "Estranged half-brothers Jonny and James reunite after their father's mysterious death. As they search for the truth, buried secrets reveal a conspiracy threatening to tear their family apart.", "https://m.media-amazon.com/images/M/MV5BZDcyMmYxZmMtMjg5MC00NWMzLTgyNDEtOGI2MWEzMmFmNmVmXkEyXkFqcGc@._V1_QL75_UX380_CR0,4,380,562_.jpg", "Angel Manuel Soto", "Jonathan Tropper", "Dave Bautista, Jason Momoa, Temuera Morrison", "", "", "New Zealand, United States", "English", "74%", "67/100"
"36", "Scary Movie", "2026", "4.8", "54099", "Comedy,Horror", "95", "movie", "https://www.imdb.com/title/tt32093575/", "R", "Two friends find themselves caught up in mayhem involving killers, monsters and supernatural creatures once again.", "https://m.media-amazon.com/images/M/MV5BNTJjMDk1NzAtMGVmNS00NTFmLWFlOTQtZDk5M2I2NjZiZDdlXkEyXkFqcGc@._V1_QL75_UX380_CR0,0,380,562_.jpg", "Michael Tiddes", "Marlon Wayans, Shawn Wayans, Keenen Ivory Wayans", "Marlon Wayans, Shawn Wayans, Anna Faris", "2 nominations total", "$108,277,762", "United States", "English", "24%", "38/100"
"37", "People We Meet on Vacation", "2026", "6.6", "52844", "Comedy,Romance", "117", "movie", "https://www.imdb.com/title/tt22740896/", "PG-13", "Poppy wants to explore the world and Alex prefers to stay home with a good book, but somehow they are the very best of friends. They live far apart, but for a decade they have spent one week of summer vacation together.", "https://m.media-amazon.com/images/M/MV5BYmNiY2Y0NmQtNDg4ZS00MTBiLTg4YjItOTgxYzI3ZjIwM2FlXkEyXkFqcGc@._V1_SX300.jpg", "Brett Haley", "Emily Henry, Yulin Kuang", "Lukas Gage, Sarah Catherine Hook, Tom Blyth", "", "", "United States", "English", "78%", ""
"38", "Voicemails for Isabelle", "2026", "7.3", "51848", "Comedy,Drama,Romance", "118", "movie", "https://www.imdb.com/title/tt10375624/", "TV-14", "Jill leaves voice messages to her deceased sister telling her about her chaotic life in San Francisco. Unwittingly, a mysterious Austin TX real estate agent begins to receive their confessions..", "https://m.media-amazon.com/images/M/MV5BMTE3MmE2MTYtMjA4OC00ZTIxLWFlNWYtZjk4ZTBkZDdiYzU0XkEyXkFqcGc@._V1_QL75_UX380_CR0,0,380,562_.jpg", "Leah McKendrick", "Leah McKendrick", "Zoey Deutch, Nick Robinson, Harry Shum Jr.", "", "", "United States", "English", "88%", "62/100"
"39", "They Will Kill You", "2026", "6.3", "50811", "Action,Comedy,Horror", "94", "movie", "https://www.imdb.com/title/tt31728330/", "R", "A woman takes a job as a housekeeper in a NYC high-rise, unaware of the building's history of disappearances. She soon realizes the community is shrouded in mystery.", "https://m.media-amazon.com/images/M/MV5BYjg5ZjQ0ZGQtMmY1NS00NTgyLTlkZWYtMDhlNzE3ZGY5ZDdmXkEyXkFqcGc@._V1_QL75_UY562_CR35,0,380,562_.jpg", "Kirill Sokolov", "Alex Litvak, Kirill Sokolov", "Zazie Beetz, Patricia Arquette, Myha'la", "1 nomination total", "$10,527,870", "South Africa, United States, Canada", "English", "65%", "50/100"
"40", "Remarkably Bright Creatures", "2026", "7.6", "49473", "Comedy,Drama", "111", "movie", "https://www.imdb.com/title/tt33100314/", "PG-13", "Through unlikely bonds formed during night shifts at a local aquarium, Tova, an elderly widow, learns of a life-changing discovery that may bring her joy and wonder once again.", "https://m.media-amazon.com/images/M/MV5BNzM3OTRlZDktYTk0OS00OTlmLWFhMjctMTZiODU4N2RiYzhhXkEyXkFqcGc@._V1_QL75_UX380_CR0,0,380,562_.jpg", "Olivia Newman", "Olivia Newman, John Whittington, Shelby Van Pelt", "Sally Field, Lewis Pullman, Colm Meaney", "2 nominations total", "", "United States", "English", "85%", "57/100"
"41", "Greenland 2: Migration", "2026", "5.2", "47992", "Action,Adventure,Sci-Fi", "98", "movie", "https://www.imdb.com/title/tt14850054/", "PG-13", "The surviving Garrity family must leave the safety of the Greenland bunker and embark on a perilous journey across the decimated frozen wasteland of Europe to find a new home.", "https://m.media-amazon.com/images/M/MV5BOWEzM2IzZTMtYzA2Yi00NjY0LWE1ODktNTllZmI3ZTI1MzBmXkEyXkFqcGc@._V1_QL75_UX380_CR0,0,380,562_.jpg", "Ric Roman Waugh", "Mitchell LaFortune, Chris Sparling", "Gerard Butler, Morena Baccarin, Roman Griffin Davis", "", "$17,770,308", "United Kingdom, United States", "English", "48%", "49/100"
"42", "Shelter", "2026", "6.1", "47166", "Action,Thriller", "107", "movie", "https://www.imdb.com/title/tt32357218/", "R", "Michael Mason is a recluse on a remote Scottish island who rescues a girl from the sea, unleashing a perilous sequence of events that culminate in an attack on his home, compelling him to face his turbulent history.", "https://m.media-amazon.com/images/M/MV5BMzI2ODY3MzQtYzllNy00YWM1LWExZTgtOGIwNjk2MmE2MmY2XkEyXkFqcGc@._V1_QL75_UX380_CR0,0,380,562_.jpg", "Ric Roman Waugh", "Ward Parry", "Jason Statham, Bodhi Rae Breathnach, Michael Shaeffer", "", "$12,805,541", "United Kingdom, United States, Canada", "English", "64%", "50/100"
"43", "Evil Dead Burn", "2026", "6.3", "44141", "Horror", "110", "movie", "https://www.imdb.com/title/tt31170389/", "R", "After the loss of her husband, a woman seeks solace with her in-laws. As one by one they transform into deadites, she comes to discover that the vows she took in life - survive even in death.", "https://m.media-amazon.com/images/M/MV5BZTljMTZjZTItZjMzZi00NDBhLWFmMzAtOGNiNTlhY2MxMzg5XkEyXkFqcGc@._V1_QL75_UX380_CR0,0,380,562_.jpg", "Sébastien Vanicek", "Florent Bernard, Sam Raimi, Sébastien Vanicek", "Souheila Yacoub, Hunter Doohan, Luciane Buchanan", "", "", "New Zealand, United States, Canada", "English", "71%", ""
